1 0.02 0.00558212379888268 48 0.87 0.89
2 0.12 0.00418710068965517 91 0.82 *
3 0.09 0.001756902875 91 0.83 0.76
4 0.2 0.00509171270718232 67 * 1
5 0.08 0.00632846769230769 91 0.83 *
6 0.04 0.005537792 91 0.83 *
7 0.15 0.00377670454545455 53 0.87 0.8
8 0.45 0.000805071202531646 53 0.81 0.91
9 0.24 0.00407393467889908 91 0.92 0.81
10 0.23 0.0040772655 46 0.86 0.9
11 0.2 0.0079448275862069 91 0.8 *
12 0.23 0.00411467160550459 91 0.89 0.81
13 0.3 0.00376409090909091 46 0.84 0.9
14 0.32 0.00516465230769231 18 0.87 0.93
15 0.42 0.00837428345679012 91 0.86 0.85
16 0.04 0.00810408585365853 91 * *
17 0.01 0.021734782826087 91 * *
18 0.15 0.00111105377906977 89 * *
19 0.06 0.0019390878125 91 0.87 *
20 0.14 0.00558828 91 0.88 *
21 -0.01 0.0126556963291139 80 * *
22 0.35 0.00520274493243243 90 0.9 0.84
23 0.03 0.00189772017110266 91 0.87 0.92
24 -0.05 0.0085776400862069 91 0.8 *
25 0.17 0.00408240350649351 91 0.91 0.78
26 0.26 0.007244748 91 0.87 0.98
27 0.04 0.00476939023923445 91 0.87 0.81
28 0.25 0.00582057119205298 91 0.92 0.91
29 0.06 0.00186618977443609 91 0.76 0.91
30 0.09 0.00221093395505618 91 * *
31 0.13 0.00313794029220779 20 0.75 0.75
32 0.3 0.0133564516129032 91 0.88 *
33 -0.16 0.0206403339130435 91 0.88 *
34 0.35 0.009625078125 90 0.9 0.84
35 0.13 0.00310767077170418 91 0.87 0.87
36 0.14 0.00143033357142857 91 0.87 0.89
37 0.19 0.016019020862069 91 0.87 0.89
38 0.34 0.00282369444043321 80 0.78 0.93
39 -0.03 0.0153569355384615 80 0.72 0.87
40 0.3 0.00269739413680782 91 0.85 *
41 0.35 0.00570375 91 0.89 *
42 0.2 0.0236307692307692 89 * *
43 0.05 0.00458528225806452 91 0.88 0.85
44 0.17 0.00812961387931034 91 0.89 *
45 -0.06 0.00528092 91 0.89 0.82
46 0.11 0.0101661084375 91 0.89 *
47 0.52 0.00691319688311688 91 0.92 0.91
48 0.52 0.00700416 91 0.92 0.91
49 0.34 0.00507898285714286 91 0.93 0.93
50 0.23 0.0067954425 91 0.87 0.95
51 0.2 0.00280975609756098 91 0.77 *
52 0.26 0.00167832 91 0.83 0.74
53 0.08 0.00261867628647215 91 0.79 0.84
54 0.06 0.00910837577981651 91 0.76 *
55 0.05 0.00260472840314136 91 0.88 *
56 0.62 0.00445839247058823 91 0.85 0.93
57 0.49 0.012832178 38 0.66 0.84
58 0.19 0.010323369 91 0.92 *
59 0.09 0.00324708122112211 54 0.88 *
60 0.05 0.01776796875 91 0.72 *
61 0.28 0.00197522455813953 38 0.81 0.8
